Sirbmá	Sirma_(Tana)
Deatnu	Tana_(Tana)
Deanodat	Vestertana_(Tana)
Juovlavuotna	Austertana_(Tana)
Fanasgieddi	Båteng_(Tana)
Leavvajohka	Levajok_(Tana)
Bonjákas	Bonakas_(Tana)
Noaidi	Lassefjellet_(Alta)
viergi	skinnkant_(på_mannslua)
riepmat	begynne_(med)
velggolaš	skyldig_(har_gjeld)
Divttasvuotna	Tysfjord_(Nordland)
Báidár	Beiarn_(Nordland)
Hábmer	Hamarøy_(Nordland)
Anár	Enare_(Finland)
Avvil	Ivalo_(Finland)
Helsset	Helsingfors_(Finland)
Enodat	Enontekiö_(Finland)
Eanodat	Enontekiö_(Finland)
Vilgesvárri	Blåfjellet_(Skånland)
Lujávri	Lovozero_(Russland)
Fálesnuorri	Kvalsundet_(Kvalsund)
Nussir	Steinfjellet_(Kvalsund)
Buollán	Brenna_(Storfjord)
Oalgevárri	Akselfjellet_(Balsfjord)
Giron	Kiruna_(Sverige)
Váhčir	Gällivare_(Sverige)
Čohkkiras	Jukkasjärvi_(Sverige)
Gárasavvon	Karesuando_(Sverige)
vuoras	gammel_(om_menneske)
došket	slå_med_flat_hånd_(en_gang)
dohppet	gripe_(en_gang)
suhppet	kaste_(en_gang)
časkit	slå_(en_gang)
Hearjjak	Herjangsfjorden_(Narvik)
Mielli	Kikhaugen_(Narvik)
Gárdin	Ravnastua_(Karasjok)
Álaheadju	Alta_(Finnmark)
Báhcavuotna	Båtsfjord_(Finnmark)
Gáŋgaviika	Gamvik_(Finnmark)
Njávdán	Neiden_(Finnmark)
Čorgaš	Nordkinn_(Finnmark)
Várjjat	Varanger_(Finnmark)
Bálák	Ballangen_(Ballangen)
Máhkarávju	Magerøya_(Nordkapp)
eahki	farbror_(eldre_enn_far)
Fállejohka	Falkeelva_(Sør-Varanger)
Sállan	Skogerøya_(Sør-Varanger)
Roavvenjárga	Råvaneset_(Sør-Varanger)
Billávuotna	Indre_Billefjord_(Porsanger)
Ikkaldas	Igeldas_(Porsanger)
Ruoššanjárga	Neset_(Porsanger)
Leavdnja	Lakselv_(Porsanger)
Bissojohka	Børselv_(Porsanger)
oahkut	gå_sakte_(om_firbente_dyr)
fuođđu	dyr_(ikke_husdyr)
Johkamohkki	Elvekroken_(Evenes)
Ráisa	Nordreisa_(Troms)
Skánik	Skånland_(Troms)
Loabák	Lavangen_(Troms)
gáhttu	tak_(på_hus)
vuokta	hår_(på_hodet)
evre	øre_(mynt)
Vuonnabahta	Varangerbotn_(Nesseby)
Unjárga	Nesseby_(Nesseby)
Gohppi	Bukta_(Lebesby)
Stuorravuotna	Storfjorden_(Lebesby)
